cell,eval,n_subjects,n_tasks,n_rank4_tasks,rank4_mean_auc,rank4_ci95,all15_mean_auc,all15_ci95,delta_rank4_vs_ctrl,delta_all15_vs_ctrl
0,cross,5,15,4,0.6327309894792899,0.072081550299265,0.5605389233532897,0.031597980043075506,0.0,0.0
1,cross,5,15,4,0.6159205991534903,0.06723500743407873,0.5542540254998405,0.03161173168146376,-0.016810390325799562,-0.006284897853449212
2,cross,5,15,4,0.6191959421496673,0.0686253547255021,0.5545675288492905,0.03124629030169905,-0.013535047329622518,-0.0059713945039991945
3,cross,5,15,4,0.6138712506563855,0.06887821070852301,0.556014896350129,0.03196186222499623,-0.01885973882290437,-0.00452402700316068
4,cross,5,15,4,0.6139491169863408,0.06208796964366617,0.5521822313751835,0.028249279090040855,-0.018781872492949048,-0.008356691978106179
5,cross,5,15,4,0.6180991074050025,0.06409160591279099,0.553217190378691,0.027887875160325884,-0.014631882074287339,-0.007321732974598705
6,cross,5,15,4,0.6186012280492535,0.06885979932470276,0.5540139372374753,0.03233812867604878,-0.014129761430036303,-0.006524986115814424
7,cross,5,15,4,0.6187767062476988,0.07440888627247116,0.5550263272436122,0.03391842942007846,-0.013954283231591091,-0.00551259610967747
0,within,6,15,4,0.7777574709664631,0.058243100614063265,0.6598144595380916,0.043963818846650814,0.0,0.0
1,within,6,15,4,0.7792188800668903,0.056669655870057116,0.6595118008564327,0.0410281992125393,0.0014614091004272467,-0.0003026586816589072
2,within,6,15,4,0.7925573736171568,0.046818199910651205,0.6646551406279703,0.03782700158021634,0.014799902650693753,0.004840681089878673
3,within,6,15,4,0.7786596148681709,0.05739805029510454,0.6568508895666428,0.040015263091075726,0.0009021439017078414,-0.002963569971448754
4,within,6,15,4,0.77841519690829,0.056862319201829305,0.6586054369130753,0.04154915652906381,0.0006577259418268921,-0.0012090226250163205
5,within,6,15,4,0.7789317061906927,0.05708789501617793,0.6588643432516822,0.04185575109896761,0.0011742352242296583,-0.000950116286409397
6,within,6,15,4,0.7752705162038152,0.05707647717439298,0.6561001936021653,0.040342350519064936,-0.0024869547626479305,-0.0037142659359262753
7,within,6,15,4,0.77614140264531,0.05651860244893638,0.6561887080404233,0.04004459125865745,-0.0016160683211531301,-0.003625751497668306
G,within,6,15,4,0.773285542742434,0.043149498229272366,0.6571209192795036,0.03679584097657281,-0.004471928224029087,-0.002693540258588034
