experiment_id,patient,d_model,backbone_depth,conv2d_kernel,pool_h,pool_w,n_folds,n_seeds,n_completed,per_phoneme_mean,per_phoneme_std,per_phoneme_min,per_phoneme_max,slot_avg_mean,best_run_tag,vs_baseline_0.734,job_id,status,date_started,notes
P8_s14_d32_depth1,S14,32,1,3,4,8,5,3,30,0.820,0.065,0.697,0.944,0.867,S14_fold0_seed1_depth1,+0.086,45707149,completed,2026-04-17,P8 depth-ablation rung (control)
P8_s14_d32_depth3,S14,32,3,3,4,8,5,3,31,0.788,0.067,0.644,0.929,0.864,S14_fold2_seed1_depth3,+0.054,45707149,completed,2026-04-17,P8 baseline — target PER ~0.78 hit on mean
ablation_s14_d32_depth5,S14,32,5,3,4,8,5,3,30,0.806,0.072,0.678,0.944,0.862,S14_fold3_seed1_depth5,+0.072,45707426,completed,2026-04-17,Capacity: depth-only over baseline
ablation_s14_d64_depth3,S14,64,3,3,4,8,5,3,30,0.791,0.043,0.747,0.905,0.860,S14_fold2_seed1_depth3,+0.057,45707426,completed,2026-04-17,Capacity: width-only over baseline
ablation_s14_d64_depth5,S14,64,5,3,4,8,5,3,30,0.786,0.049,0.667,0.862,0.855,S14_fold2_seed2_depth5,+0.052,45707426,completed,2026-04-17,Capacity: width + depth combined
ablation_s14_k1_pool4x8,S14,32,3,1,4,8,5,3,30,0.823,0.063,0.701,0.929,0.855,S14_fold2_seed1_depth3,+0.089,45707427,completed,2026-04-17,Spatial: no Conv2d context (k=1)
ablation_s14_k5_pool4x8,S14,32,3,5,4,8,5,3,30,0.801,0.066,0.707,0.899,0.875,S14_fold0_seed1_depth3,+0.067,45707427,completed,2026-04-17,Spatial: larger Conv2d kernel (k=5)
ablation_s14_k3_pool2x4,S14,32,3,3,2,4,5,3,30,0.773,0.050,0.689,0.889,0.852,S14_fold3_seed2_depth3,+0.039,45707427,completed,2026-04-17,Spatial: coarser pool (8 cells)
ablation_s14_k3_pool8x16,S14,32,3,3,8,16,5,3,30,0.789,0.059,0.690,0.889,0.868,S14_fold2_seed2_depth3,+0.055,45707427,completed,2026-04-17,Spatial: no pool on S14 8×16 (128 cells)
auto_S26_d32_depth3_k3_pool4x8,S26,32,3,3,4,8,5,3,30,0.879,0.052,0.756,0.956,0.890,S26_fold3_seed1_depth3,+0.145,,completed,,auto-appended by update_ablation_log
auto_S26_d32_depth1_k3_pool4x8,S26,32,1,3,4,8,5,3,30,0.849,0.042,0.778,0.939,0.878,S26_fold2_seed2_depth1,+0.115,,completed,,auto-appended by update_ablation_log
auto_S33_d32_depth3_k3_pool4x8,S33,32,3,3,4,8,5,3,15,0.873,0.062,0.733,1.000,0.879,S33_fold3_seed0_depth3,+0.139,,completed,,auto-appended by update_ablation_log
auto_S33_d32_depth1_k3_pool4x8,S33,32,1,3,4,8,5,3,15,0.872,0.070,0.733,0.970,0.883,S33_fold3_seed1_depth1,+0.138,,completed,,auto-appended by update_ablation_log
auto_S16_d32_depth3_k3_pool4x8,S16,32,3,3,4,8,5,3,15,0.875,0.050,0.795,0.942,0.894,S16_fold4_seed1_depth3,+0.141,,completed,,auto-appended by update_ablation_log
auto_S16_d32_depth1_k3_pool4x8,S16,32,1,3,4,8,5,3,15,0.862,0.055,0.742,0.932,0.909,S16_fold2_seed1_depth1,+0.128,,completed,,auto-appended by update_ablation_log
auto_S39_d32_depth3_k3_pool4x8,S39,32,3,3,4,8,5,3,15,0.851,0.062,0.759,0.956,0.897,S39_fold3_seed0_depth3,+0.117,,completed,,auto-appended by update_ablation_log
auto_S39_d32_depth1_k3_pool4x8,S39,32,1,3,4,8,5,3,15,0.867,0.043,0.770,0.933,0.905,S39_fold3_seed1_depth1,+0.133,,completed,,auto-appended by update_ablation_log
auto_S62_d32_depth3_k3_pool4x8,S62,32,3,3,4,8,5,3,15,0.824,0.058,0.714,0.917,0.876,S62_fold2_seed0_depth3,+0.090,,completed,,auto-appended by update_ablation_log
auto_S62_d32_depth1_k3_pool4x8,S62,32,1,3,4,8,5,3,15,0.847,0.054,0.778,0.943,0.898,S62_fold3_seed0_depth1,+0.113,,completed,,auto-appended by update_ablation_log
auto_S23_d32_depth3_k3_pool4x8,S23,32,3,3,4,8,5,3,15,0.858,0.048,0.789,0.956,0.909,S23_fold3_seed2_depth3,+0.124,,completed,,auto-appended by update_ablation_log
auto_S23_d32_depth1_k3_pool4x8,S23,32,1,3,4,8,5,3,15,0.862,0.057,0.722,0.944,0.888,S23_fold2_seed2_depth1,+0.128,,completed,,auto-appended by update_ablation_log
auto_pooled:S14_S26_d32_depth3_k3_pool4x8,pooled:S14_S26,32,3,3,4,8,5,3,1,0.899,0.000,0.899,0.899,0.874,pooled_S14_S26_fold0_seed0_depth3,+0.165,,running,,pooled per-patient: S14:0.960; S26:0.839
auto_pooled:S14_S26_S33_S62_d32_depth3_k3_pool4x8,pooled:S14_S26_S33_S62,32,3,3,4,8,5,3,15,0.794,0.059,0.722,0.909,0.852,pooled_S14_S26_S33_S62_fold2_seed0_depth3,+0.060,,completed,,pooled per-patient: S14:0.784; S26:0.803; S33:0.764; S62:0.825
auto_pooled:S14_S16_S23_S26_S33_S39_S62_d32_depth3_k3_pool4x8,pooled:S14_S16_S23_S26_S33_S39_S62,32,3,3,4,8,5,3,15,0.834,0.051,0.742,0.906,0.879,pooled_S14_S16_S23_S26_S33_S39_S62_fold2_seed0_depth3,+0.100,,completed,,pooled per-patient: S14:0.835; S16:0.846; S23:0.840; S26:0.818; S33:0.825; S39:0.839; S62:0.836
auto_pooled:S14_S26_S33_d32_depth3_k3_pool4x8,pooled:S14_S26_S33,32,3,3,4,8,5,3,15,0.792,0.070,0.692,0.949,0.858,pooled_S14_S26_S33_fold0_seed0_depth3,+0.058,,completed,,pooled per-patient: S14:0.784; S26:0.819; S33:0.771
auto_pooled:S14_S26_S33_S62::noemb_d32_depth3_k3_pool4x8,pooled:S14_S26_S33_S62::noemb,32,3,3,4,8,5,3,15,0.805,0.027,0.746,0.839,0.869,pooled_S14_S26_S33_S62_fold2_seed1_depth3,+0.071,,completed,,pooled per-patient: S14:0.786; S26:0.784; S33:0.821; S62:0.830
auto_S14::flat_d32_depth3_k3_pool4x8,S14::flat,32,3,3,4,8,5,3,15,0.790,0.032,0.744,0.859,0.826,S14_fold3_seed1_depth3,+0.056,,completed,,auto-appended by update_ablation_log
