job_id,cell,ref_code,ref_kind,view_code,view_kind,subject_id,trial_id,normalization,tasks,report_dir,sbatch_path
46766284,L.2.R0xI3,R0,raw,I3,hg_envelope,10,0,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub10_trial0,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub10_trial0/submit.sbatch
46766285,L.2.R0xI3,R0,raw,I3,hg_envelope,10,1,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub10_trial1,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub10_trial1/submit.sbatch
46766286,L.2.R0xI3,R0,raw,I3,hg_envelope,1,1,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub1_trial1,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub1_trial1/submit.sbatch
46766287,L.2.R0xI3,R0,raw,I3,hg_envelope,1,2,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub1_trial2,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub1_trial2/submit.sbatch
46766288,L.2.R0xI3,R0,raw,I3,hg_envelope,2,0,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub2_trial0,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub2_trial0/submit.sbatch
46766289,L.2.R0xI3,R0,raw,I3,hg_envelope,2,4,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub2_trial4,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub2_trial4/submit.sbatch
46766290,L.2.R0xI3,R0,raw,I3,hg_envelope,3,0,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub3_trial0,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub3_trial0/submit.sbatch
46766291,L.2.R0xI3,R0,raw,I3,hg_envelope,3,1,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub3_trial1,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub3_trial1/submit.sbatch
46766292,L.2.R0xI3,R0,raw,I3,hg_envelope,4,0,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub4_trial0,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub4_trial0/submit.sbatch
46766293,L.2.R0xI3,R0,raw,I3,hg_envelope,4,1,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub4_trial1,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub4_trial1/submit.sbatch
46766294,L.2.R0xI3,R0,raw,I3,hg_envelope,7,0,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub7_trial0,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub7_trial0/submit.sbatch
46766295,L.2.R0xI3,R0,raw,I3,hg_envelope,7,1,train_set_fixed,"onset,speech,volume,delta_volume,pitch,word_index,word_gap,gpt2_surprisal,word_head_pos,word_part_speech,word_length,global_flow,local_flow,frame_brightness,face_num",reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub7_trial1,reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI3/sub7_trial1/submit.sbatch
