subject_id,train_trial,test_trial,task,n_train_unique,n_test_unique,n_overlap_unique,overlap_fraction,n_train_total,n_test_total
1,2,1,ALL_WORDS_UPPER_BOUND,1556,1971,652,0.33079654997463215,8385,10723
1,1,2,ALL_WORDS_UPPER_BOUND,1971,1556,652,0.4190231362467866,10723,8385
2,4,0,ALL_WORDS_UPPER_BOUND,1551,1304,573,0.43941717791411045,7844,7053
2,0,4,ALL_WORDS_UPPER_BOUND,1304,1551,573,0.3694390715667311,7053,7844
3,1,0,ALL_WORDS_UPPER_BOUND,1505,1827,590,0.3229337712096333,7597,10699
3,0,1,ALL_WORDS_UPPER_BOUND,1827,1505,590,0.3920265780730897,10699,7597
4,1,0,ALL_WORDS_UPPER_BOUND,1541,1433,632,0.44103279832519193,8223,6719
4,0,1,ALL_WORDS_UPPER_BOUND,1433,1541,632,0.41012329656067487,6719,8223
7,1,0,ALL_WORDS_UPPER_BOUND,1541,1827,694,0.3798576902025178,8223,10699
7,0,1,ALL_WORDS_UPPER_BOUND,1827,1541,694,0.45035691109669046,10699,8223
10,1,0,ALL_WORDS_UPPER_BOUND,1724,1661,720,0.4334738109572547,10863,8796
10,0,1,ALL_WORDS_UPPER_BOUND,1661,1724,720,0.4176334106728538,8796,10863
